127.0.0.1 - - [26/Aug/2015:23:28:54 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:28:57 +0530] "GET /AMS_project/ HTTP/1.1" 200 4792
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:28:57 +0530] "GET /AMS_project/BackgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:28:57 +0530] "GET /AMS_project/logout.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:28:57 +0530] "GET /AMS_project/BackgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:29:05 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:29:05 +0530] "GET /AMS_project/homee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:29:43 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:29:44 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:30:09 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:30:11 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:30:34 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:30:35 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:30:51 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:30:52 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:31:12 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:31:13 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:31:36 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:31:37 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:32:10 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:32:12 +0530] "GET /AMS_project/FlatRegistration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [26/Aug/2015:23:32:48 +0530] "POST /AMS_project/FlatRegistrationController HTTP/1.1" 200 4898
