127.0.0.1 - - [16/Mar/2016:22:54:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:34 +0530] "GET /onBoarding/index.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:34 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:34 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:41 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:41 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:57 +0530] "GET /onBoarding/ HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:54:58 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:55:56 +0530] "GET /onBoarding/signup.jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:03 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:03 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:06 +0530] "GET /onBoarding/about.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:10 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:10 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:15 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:15 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:28 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [16/Mar/2016:22:56:28 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
