127.0.0.1 - - [29/Jun/2016:17:49:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:32 +0530] "GET /onBoarding/ HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:32 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:39 +0530] "GET /onBoarding/ HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:39 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:39 +0530] "GET /onBoarding/images.png HTTP/1.1" 200 4285
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:48 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:49:49 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:08 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:08 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:21 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:21 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:35 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:35 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [29/Jun/2016:17:50:43 +0530] "GET /onBoarding/signup.jsp HTTP/1.1" 404 1036
