127.0.0.1 - - [28/Nov/2016:22:35:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:35:57 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:35:57 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:37:29 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:37:29 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:39:14 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:39:14 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:40:41 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:40:41 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:40:41 +0530] "GET /onBoarding/images.png HTTP/1.1" 200 4285
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:40:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:42:04 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:42:04 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:42:27 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:42:27 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:44:59 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:45:00 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:46:07 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:46:08 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:48:04 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:48:04 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:48:21 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:48:22 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:49:20 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:49:20 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:49:34 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:49:34 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:51:49 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:51:50 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:52:05 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:52:05 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:52:43 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:52:43 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:53:12 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:53:12 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:53:40 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:53:40 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:54:33 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:54:33 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:57:13 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:57:13 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:57:13 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:58:17 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:58:17 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:22:58:20 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:41:29 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:41:30 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:41:30 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:41:54 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:41:54 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:41:54 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:10 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:10 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:10 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:23 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:23 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:23 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:50 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:50 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:42:50 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:43:38 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:43:38 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:44:40 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:44:40 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:45:46 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:45:47 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:46:16 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:46:16 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:46:33 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:46:33 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:46:54 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:46:54 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:47:51 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [28/Nov/2016:23:47:51 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
